Model,Version,Info,Firmware
Yealink T31W,124.87.0.15,Yealink T31W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
Yealink T33P,124.87.0.15,Yealink T33P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
Yealink T33G,124.87.0.15,Yealink T33G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
Yealink T34W,124.87.0.15,Yealink T34W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T3X-124.87.0.15.rom
Yealink T32,32.70.0.228,Yealink T32 FW: Only Accept Trusted Certificates is disabled,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T32-32.70.0.228.rom
Yealink T38,38.70.0.228,Yealink T38 FW: Only Accept Trusted Certificates is disabled,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T38-38.70.0.228.rom
Yealink T40P,54.84.0.95,Yealink T40P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T40-54.84.0.95.rom
Yealink T40G,76.84.0.95,Yealink T40G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T40G-76.84.0.95.rom
Yealink T41S,66.86.0.15,Yealink T41S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XS-66.86.0.15.rom
Yealink T41P,36.83.0.145,Yealink T41P FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T41-36.83.0.145.rom
Yealink T41U,108.87.0.16,Yealink T41U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T42S,66.86.0.15,Yealink T42S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XS-66.86.0.15.rom
Yealink T42G,29.83.0.145,Yealink T42G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T42-29.83.0.145.rom
Yealink T42U,108.87.0.16,Yealink T42U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T43U,108.87.0.16,Yealink T43U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T44U,108.87.0.16,Yealink T44U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T44W,108.87.0.16,Yealink T44W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T46S,66.86.0.15,Yealink T46S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XS-66.86.0.15.rom
Yealink T46G,28.83.0.136,Yealink T46G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T46-28.83.0.136.rom
Yealink T46U,108.87.0.16,Yealink T46U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T48S,66.86.0.15,Yealink T48S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XS-66.86.0.15.rom
Yealink T48G,35.83.0.136,Yealink T48G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T48-35.83.0.136.rom
Yealink T48U,108.87.0.16,Yealink T48U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T4XU-108.87.0.16.rom
Yealink T52S,70.84.0.80,Yealink T52S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XS-70.84.0.80.rom
Yealink T53,96.87.0.16,Yealink T53 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XW-96.87.0.16.rom
